,s-4,s-3,s-2,s-1,a,r
444,6,1,19,1,12,-1.0
445,1,19,1,12,19,1.0
446,19,1,12,19,10,-1.0
447,1,12,19,10,3,1.0
448,12,19,10,3,4,-1.0
449,19,10,3,4,1,0.0
450,10,3,4,1,4,-1.0
451,3,4,1,4,5,-1.0
452,4,1,4,5,9,1.0
453,1,4,5,9,11,0.0
454,4,5,9,11,0,-1.0
455,5,9,11,0,8,1.0
456,9,11,0,8,1,0.0
457,11,0,8,1,17,-1.0
458,0,8,1,17,0,-1.0
459,8,1,17,0,2,1.0
460,1,17,0,2,1,0.0
461,17,0,2,1,7,-1.0
462,0,2,1,7,19,-1.0
463,2,1,7,19,19,-1.0
464,1,7,19,19,14,1.0
465,7,19,19,14,4,-1.0
466,19,19,14,4,4,-1.0
467,19,14,4,4,2,1.0
468,14,4,4,2,3,1.0
469,4,4,2,3,1,1.0
470,4,2,3,1,7,0.0
471,2,3,1,7,1,0.0
472,3,1,7,1,2,1.0
473,1,7,1,2,16,-1.0
474,7,1,2,16,1,0.0
475,1,2,16,1,0,0.0
476,2,16,1,0,2,1.0
477,16,1,0,2,12,-1.0
478,1,0,2,12,1,0.0
479,0,2,12,1,1,0.0
480,2,12,1,1,2,0.0
481,12,1,1,2,3,-1.0
482,1,1,2,3,8,1.0
483,1,2,3,8,19,0.0
484,2,3,8,19,19,0.0
485,3,8,19,19,4,1.0
486,8,19,19,4,5,-1.0
487,19,19,4,5,13,0.0
488,19,4,5,13,2,1.0
489,4,5,13,2,2,0.0
490,5,13,2,2,2,1.0
491,13,2,2,2,3,0.0
492,2,2,2,3,1,0.0
493,2,2,3,1,0,-1.0
494,2,3,1,0,2,0.0
495,3,1,0,2,1,0.0
496,1,0,2,1,10,-1.0
497,0,2,1,10,1,0.0
498,2,1,10,1,4,-1.0
499,1,10,1,4,2,0.0
500,10,1,4,2,2,0.0
501,1,4,2,2,2,0.0
502,4,2,2,2,2,0.0
503,2,2,2,2,1,0.0
504,2,2,2,1,1,0.0
505,2,2,1,1,1,0.0
506,2,1,1,1,1,0.0
507,1,1,1,1,19,0.0
508,1,1,1,19,1,0.0
509,1,1,19,1,0,-1.0
510,1,19,1,0,0,-1.0
511,19,1,0,0,11,-1.0
512,1,0,0,11,1,1.0
513,0,0,11,1,1,0.0
514,0,11,1,1,1,1.0
515,11,1,1,1,4,1.0
516,1,1,1,4,1,0.0
517,1,1,4,1,4,-1.0
518,1,4,1,4,1,0.0
519,4,1,4,1,2,1.0
520,1,4,1,2,1,0.0
521,4,1,2,1,1,0.0
522,1,2,1,1,1,0.0
523,2,1,1,1,1,-1.0
524,1,1,1,1,1,-1.0
525,1,1,1,1,1,0.0
526,1,1,1,1,1,0.0
527,1,1,1,1,1,0.0
528,1,1,1,1,1,0.0
529,1,1,1,1,1,0.0
530,1,1,1,1,1,-1.0
531,1,1,1,1,1,0.0
532,1,1,1,1,1,0.0
533,1,1,1,1,1,0.0
534,1,1,1,1,9,1.0
535,1,1,1,9,9,1.0
536,1,1,9,9,2,1.0
537,1,9,9,2,2,0.0
538,9,9,2,2,2,1.0
539,9,2,2,2,8,1.0
540,2,2,2,8,14,1.0
541,2,2,8,14,2,1.0
542,2,8,14,2,3,-1.0
543,8,14,2,3,2,0.0
544,14,2,3,2,1,0.0
545,2,3,2,1,15,1.0
546,3,2,1,15,16,-1.0
547,2,1,15,16,0,-1.0
548,1,15,16,0,4,-1.0
549,15,16,0,4,1,0.0
550,16,0,4,1,1,0.0
551,0,4,1,1,13,0.0
552,4,1,1,13,10,1.0
553,1,1,13,10,0,1.0
554,1,13,10,0,6,0.0
555,13,10,0,6,1,0.0
556,10,0,6,1,19,0.0
557,0,6,1,19,1,-1.0
558,6,1,19,1,17,-1.0
559,1,19,1,17,3,-1.0
560,19,1,17,3,1,-1.0
561,1,17,3,1,0,0.0
562,17,3,1,0,3,1.0
563,3,1,0,3,0,1.0
564,1,0,3,0,7,0.0
565,0,3,0,7,18,0.0
566,3,0,7,18,1,0.0
567,0,7,18,1,0,1.0
568,7,18,1,0,18,-1.0
569,18,1,0,18,12,-1.0
570,1,0,18,12,0,0.0
571,0,18,12,0,0,1.0
572,18,12,0,0,8,1.0
573,12,0,0,8,0,-1.0
574,0,0,8,0,0,0.0
575,0,8,0,0,0,-1.0
576,8,0,0,0,1,0.0
577,0,0,0,1,0,-1.0
578,0,0,1,0,0,-1.0
579,0,1,0,0,3,1.0
580,1,0,0,3,6,-1.0
581,0,0,3,6,0,-1.0
582,0,3,6,0,0,1.0
583,3,6,0,0,1,-1.0
584,6,0,0,1,0,-1.0
585,0,0,1,0,16,-1.0
586,0,1,0,16,0,-1.0
587,1,0,16,0,6,-1.0
588,0,16,0,6,3,-1.0
589,16,0,6,3,18,-1.0
590,0,6,3,18,5,-1.0
591,6,3,18,5,0,-1.0
592,3,18,5,0,1,-1.0
593,18,5,0,1,0,-1.0
594,5,0,1,0,0,0.0
595,0,1,0,0,3,1.0
596,1,0,0,3,2,1.0
597,0,0,3,2,0,0.0
598,0,3,2,0,0,-1.0
599,3,2,0,0,16,-1.0
600,2,0,0,16,14,0.0
601,0,0,16,14,0,0.0
602,0,16,14,0,10,-1.0
603,16,14,0,10,0,-1.0
604,14,0,10,0,0,0.0
605,0,10,0,0,0,-1.0
606,10,0,0,0,1,0.0
607,0,0,0,1,0,-1.0
608,0,0,1,0,0,-1.0
609,0,1,0,0,0,-1.0
610,1,0,0,0,0,-1.0
611,0,0,0,0,0,-1.0
612,0,0,0,0,0,0.0
613,0,0,0,0,0,-1.0
614,0,0,0,0,0,-1.0
615,0,0,0,0,0,-1.0
616,0,0,0,0,0,-1.0
617,0,0,0,0,0,0.0
618,0,0,0,0,0,0.0
619,0,0,0,0,1,0.0
620,0,0,0,1,13,1.0
621,0,0,1,13,1,0.0
622,0,1,13,1,0,-1.0
623,1,13,1,0,11,-1.0
624,13,1,0,11,0,-1.0
625,1,0,11,0,0,-1.0
626,0,11,0,0,0,-1.0
627,11,0,0,0,1,-1.0
628,0,0,0,1,7,0.0
629,0,0,1,7,1,0.0
630,0,1,7,1,0,-1.0
631,1,7,1,0,0,-1.0
632,7,1,0,0,0,-1.0
633,1,0,0,0,0,1.0
634,0,0,0,0,0,1.0
635,0,0,0,0,0,-1.0
636,0,0,0,0,0,-1.0
637,0,0,0,0,12,1.0
638,0,0,0,12,19,1.0
639,0,0,12,19,0,-1.0
640,0,12,19,0,0,-1.0
641,12,19,0,0,0,-1.0
642,19,0,0,0,6,-1.0
643,0,0,0,6,6,-1.0
644,0,0,6,6,0,-1.0
645,0,6,6,0,0,-1.0
646,6,6,0,0,1,-1.0
647,6,0,0,1,0,-1.0
648,0,0,1,0,8,1.0
649,0,1,0,8,4,-1.0
650,1,0,8,4,0,-1.0
651,0,8,4,0,0,-1.0
652,8,4,0,0,0,-1.0
653,4,0,0,0,19,0.0
654,0,0,0,19,2,-1.0
655,0,0,19,2,0,-1.0
656,0,19,2,0,0,0.0
657,19,2,0,0,0,-1.0
658,2,0,0,0,13,-1.0
659,0,0,0,13,2,1.0
660,0,0,13,2,0,1.0
661,0,13,2,0,0,0.0
662,13,2,0,0,0,-1.0
663,2,0,0,0,0,0.0
664,0,0,0,0,0,0.0
665,0,0,0,0,0,-1.0
666,0,0,0,0,0,-1.0
667,0,0,0,0,0,-1.0
668,0,0,0,0,0,-1.0
669,0,0,0,0,0,0.0
670,0,0,0,0,1,0.0
671,0,0,0,1,0,1.0
672,0,0,1,0,0,-1.0
673,0,1,0,0,0,0.0
674,1,0,0,0,0,-1.0
675,0,0,0,0,0,-1.0
676,0,0,0,0,0,-1.0
677,0,0,0,0,0,-1.0
678,0,0,0,0,0,-1.0
679,0,0,0,0,0,-1.0
680,0,0,0,0,0,0.0
681,0,0,0,0,0,0.0
682,0,0,0,0,0,-1.0
683,0,0,0,0,0,0.0
684,0,0,0,0,0,-1.0
685,0,0,0,0,0,-1.0
686,0,0,0,0,0,0.0
687,0,0,0,0,0,-1.0
688,0,0,0,0,0,-1.0
689,0,0,0,0,0,-1.0
690,0,0,0,0,0,-1.0
691,0,0,0,0,0,-1.0
692,0,0,0,0,0,0.0
693,0,0,0,0,0,0.0
694,0,0,0,0,1,0.0
695,0,0,0,1,0,-1.0
696,0,0,1,0,1,-1.0
697,0,1,0,1,1,0.0
698,1,0,1,1,0,-1.0
699,0,1,1,0,0,-1.0
700,1,1,0,0,0,-1.0
701,1,0,0,0,0,0.0
702,0,0,0,0,0,-1.0
703,0,0,0,0,0,-1.0
704,0,0,0,0,0,-1.0
705,0,0,0,0,0,-1.0
706,0,0,0,0,0,0.0
707,0,0,0,0,13,-1.0
708,0,0,0,13,2,0.0
709,0,0,13,2,0,-1.0
710,0,13,2,0,6,-1.0
711,13,2,0,6,0,0.0
712,2,0,6,0,0,-1.0
713,0,6,0,0,0,-1.0
714,6,0,0,0,2,1.0
715,0,0,0,2,0,-1.0
716,0,0,2,0,0,-1.0
717,0,2,0,0,0,-1.0
718,2,0,0,0,0,0.0
719,0,0,0,0,0,-1.0
720,0,0,0,0,0,-1.0
721,0,0,0,0,0,-1.0
722,0,0,0,0,13,0.0
723,0,0,0,13,8,1.0
724,0,0,13,8,0,-1.0
725,0,13,8,0,19,-1.0
726,13,8,0,19,17,0.0
727,8,0,19,17,0,0.0
728,0,19,17,0,18,-1.0
729,19,17,0,18,0,-1.0
730,17,0,18,0,0,-1.0
731,0,18,0,0,0,-1.0
732,18,0,0,0,9,1.0
733,0,0,0,9,0,1.0
734,0,0,9,0,0,-1.0
735,0,9,0,0,0,-1.0
736,9,0,0,0,4,1.0
737,0,0,0,4,0,-1.0
738,0,0,4,0,0,-1.0
739,0,4,0,0,0,-1.0
740,4,0,0,0,2,0.0
741,0,0,0,2,0,-1.0
742,0,0,2,0,6,0.0
743,0,2,0,6,0,-1.0
744,2,0,6,0,8,1.0
745,0,6,0,8,0,-1.0
746,6,0,8,0,0,-1.0
747,0,8,0,0,0,-1.0
748,8,0,0,0,2,0.0
749,0,0,0,2,13,-1.0
750,0,0,2,13,0,0.0
751,0,2,13,0,0,-1.0
752,2,13,0,0,0,-1.0
753,13,0,0,0,4,-1.0
754,0,0,0,4,0,0.0
755,0,0,4,0,0,-1.0
756,0,4,0,0,6,-1.0
757,4,0,0,6,10,1.0
758,0,0,6,10,0,1.0
759,0,6,10,0,0,-1.0
760,6,10,0,0,5,0.0
761,10,0,0,5,19,0.0
762,0,0,5,19,4,1.0
763,0,5,19,4,0,-1.0
764,5,19,4,0,5,-1.0
765,19,4,0,5,0,-1.0
766,4,0,5,0,16,1.0
767,0,5,0,16,4,-1.0
768,5,0,16,4,19,1.0
769,0,16,4,19,0,0.0
770,16,4,19,0,6,-1.0
771,4,19,0,6,0,-1.0
772,19,0,6,0,19,0.0
773,0,6,0,19,0,-1.0
774,6,0,19,0,19,1.0
775,0,19,0,19,1,-1.0
776,19,0,19,1,19,0.0
777,0,19,1,19,1,0.0
778,19,1,19,1,19,0.0
779,1,19,1,19,1,0.0
780,19,1,19,1,1,0.0
781,1,19,1,1,0,-1.0
782,19,1,1,0,4,-1.0
783,1,1,0,4,17,1.0
784,1,0,4,17,0,-1.0
785,0,4,17,0,0,1.0
786,4,17,0,0,0,0.0
787,17,0,0,0,19,0.0
788,0,0,0,19,1,0.0
789,0,0,19,1,0,-1.0
790,0,19,1,0,0,1.0
791,19,1,0,0,13,0.0
792,1,0,0,13,19,0.0
793,0,0,13,19,5,-1.0
794,0,13,19,5,0,-1.0
795,13,19,5,0,17,-1.0
796,19,5,0,17,11,-1.0
797,5,0,17,11,0,0.0
798,0,17,11,0,8,1.0
799,17,11,0,8,0,0.0
800,11,0,8,0,19,-1.0
801,0,8,0,19,4,-1.0
802,8,0,19,4,19,0.0
803,0,19,4,19,4,-1.0
804,19,4,19,4,1,-1.0
805,4,19,4,1,0,-1.0
806,19,4,1,0,0,-1.0
807,4,1,0,0,19,0.0
808,1,0,0,19,0,1.0
809,0,0,19,0,17,-1.0
810,0,19,0,17,1,0.0
811,19,0,17,1,18,-1.0
812,0,17,1,18,0,-1.0
813,17,1,18,0,19,0.0
814,1,18,0,19,0,0.0
815,18,0,19,0,19,0.0
816,0,19,0,19,1,-1.0
817,19,0,19,1,7,0.0
818,0,19,1,7,5,-1.0
819,19,1,7,5,19,0.0
820,1,7,5,19,17,-1.0
821,7,5,19,17,0,0.0
822,5,19,17,0,8,1.0
823,19,17,0,8,8,1.0
824,17,0,8,8,19,0.0
825,0,8,8,19,0,-1.0
826,8,8,19,0,10,-1.0
827,8,19,0,10,14,1.0
828,19,0,10,14,12,-1.0
829,0,10,14,12,0,-1.0
830,10,14,12,0,10,-1.0
831,14,12,0,10,8,-1.0
832,12,0,10,8,19,0.0
833,0,10,8,19,12,-1.0
834,10,8,19,12,0,0.0
835,8,19,12,0,13,0.0
836,19,12,0,13,7,0.0
837,12,0,13,7,19,0.0
838,0,13,7,19,0,-1.0
839,13,7,19,0,1,0.0
840,7,19,0,1,14,1.0
841,19,0,1,14,19,0.0
842,0,1,14,19,19,-1.0
843,1,14,19,19,0,0.0
