,s-5,s-4,s-3,s-2,s-1,a,r
590,16,0,0,0,0,0.0,1.0
591,0,0,0,0,0,36.0,1.0
592,0,0,0,0,36,0.0,0.0
593,0,0,0,36,0,28.0,1.0
594,0,0,36,0,28,0.0,0.0
595,0,36,0,28,0,0.0,0.0
596,36,0,28,0,0,0.0,1.0
597,0,28,0,0,0,19.0,0.0
598,28,0,0,0,19,8.0,0.0
599,0,0,0,19,8,0.0,0.0
600,0,0,19,8,0,0.0,1.0
601,0,19,8,0,0,0.0,1.0
602,19,8,0,0,0,0.0,1.0
603,8,0,0,0,0,0.0,1.0
604,0,0,0,0,0,1.0,0.0
605,0,0,0,0,1,0.0,1.0
606,0,0,0,1,0,50.0,0.0
607,0,0,1,0,50,0.0,0.0
608,0,1,0,50,0,0.0,0.0
609,1,0,50,0,0,0.0,1.0
610,0,50,0,0,0,0.0,1.0
611,50,0,0,0,0,0.0,1.0
612,0,0,0,0,0,0.0,1.0
613,0,0,0,0,0,0.0,1.0
614,0,0,0,0,0,0.0,1.0
615,0,0,0,0,0,0.0,1.0
616,0,0,0,0,0,0.0,1.0
617,0,0,0,0,0,0.0,1.0
618,0,0,0,0,0,0.0,1.0
619,0,0,0,0,0,0.0,0.0
620,0,0,0,0,0,0.0,1.0
621,0,0,0,0,0,0.0,1.0
622,0,0,0,0,0,0.0,0.0
623,0,0,0,0,0,0.0,0.0
624,0,0,0,0,0,0.0,0.0
625,0,0,0,0,0,0.0,-1.0
626,0,0,0,0,0,0.0,-1.0
627,0,0,0,0,0,0.0,0.0
628,0,0,0,0,0,0.0,-1.0
629,0,0,0,0,0,0.0,-1.0
630,0,0,0,0,0,0.0,0.0
631,0,0,0,0,0,0.0,0.0
632,0,0,0,0,0,0.0,-1.0
633,0,0,0,0,0,0.0,0.0
634,0,0,0,0,0,29.0,0.0
635,0,0,0,0,29,0.0,1.0
636,0,0,0,29,0,0.0,1.0
637,0,0,29,0,0,0.0,1.0
638,0,29,0,0,0,0.0,1.0
639,29,0,0,0,0,0.0,1.0
640,0,0,0,0,0,0.0,1.0
641,0,0,0,0,0,0.0,1.0
642,0,0,0,0,0,30.0,1.0
643,0,0,0,0,30,40.0,0.0
644,0,0,0,30,40,0.0,1.0
645,0,0,30,40,0,0.0,1.0
646,0,30,40,0,0,0.0,1.0
647,30,40,0,0,0,0.0,1.0
648,40,0,0,0,0,0.0,1.0
649,0,0,0,0,0,77.0,0.0
650,0,0,0,0,77,0.0,0.0
651,0,0,0,77,0,0.0,1.0
652,0,0,77,0,0,35.0,0.0
653,0,77,0,0,35,68.0,1.0
654,77,0,0,35,68,0.0,0.0
655,0,0,35,68,0,0.0,1.0
656,0,35,68,0,0,0.0,1.0
657,35,68,0,0,0,43.0,1.0
658,68,0,0,0,43,0.0,0.0
659,0,0,0,43,0,0.0,1.0
660,0,0,43,0,0,71.0,0.0
661,0,43,0,0,71,0.0,0.0
662,43,0,0,71,0,58.0,0.0
663,0,0,71,0,58,0.0,0.0
664,0,71,0,58,0,0.0,1.0
665,71,0,58,0,0,0.0,1.0
666,0,58,0,0,0,5.0,0.0
667,58,0,0,0,5,0.0,0.0
668,0,0,0,5,0,0.0,1.0
669,0,0,5,0,0,0.0,1.0
670,0,5,0,0,0,0.0,1.0
671,5,0,0,0,0,0.0,1.0
672,0,0,0,0,0,0.0,1.0
673,0,0,0,0,0,0.0,1.0
674,0,0,0,0,0,65.0,0.0
675,0,0,0,0,65,0.0,0.0
676,0,0,0,65,0,0.0,1.0
677,0,0,65,0,0,50.0,0.0
678,0,65,0,0,50,0.0,1.0
679,65,0,0,50,0,0.0,1.0
680,0,0,50,0,0,0.0,1.0
681,0,50,0,0,0,0.0,1.0
682,50,0,0,0,0,0.0,1.0
683,0,0,0,0,0,0.0,1.0
684,0,0,0,0,0,0.0,1.0
685,0,0,0,0,0,0.0,1.0
686,0,0,0,0,0,0.0,-1.0
687,0,0,0,0,0,0.0,1.0
688,0,0,0,0,0,0.0,-1.0
689,0,0,0,0,0,0.0,0.0
690,0,0,0,0,0,0.0,1.0
