,s-4,s-3,s-2,s-1,a,r
683,10,19,2,6,12,1.0
684,19,2,6,12,16,0.0
685,2,6,12,16,2,1.0
686,6,12,16,2,7,0.0
687,12,16,2,7,11,0.0
688,16,2,7,11,14,1.0
689,2,7,11,14,14,0.0
690,7,11,14,14,13,1.0
691,11,14,14,13,2,0.0
692,14,14,13,2,9,0.0
693,14,13,2,9,0,0.0
694,13,2,9,0,5,0.0
695,2,9,0,5,10,1.0
696,9,0,5,10,7,0.0
697,0,5,10,7,6,1.0
698,5,10,7,6,13,1.0
699,10,7,6,13,11,0.0
700,7,6,13,11,7,0.0
701,6,13,11,7,19,0.0
702,13,11,7,19,2,1.0
703,11,7,19,2,13,0.0
704,7,19,2,13,11,1.0
705,19,2,13,11,5,1.0
706,2,13,11,5,13,1.0
707,13,11,5,13,12,1.0
708,11,5,13,12,9,0.0
709,5,13,12,9,19,1.0
710,13,12,9,19,19,-1.0
711,12,9,19,19,1,0.0
712,9,19,19,1,3,0.0
713,19,19,1,3,3,1.0
714,19,1,3,3,13,0.0
715,1,3,3,13,4,1.0
716,3,3,13,4,5,1.0
717,3,13,4,5,11,-1.0
718,13,4,5,11,14,1.0
719,4,5,11,14,9,1.0
720,5,11,14,9,13,0.0
721,11,14,9,13,5,0.0
722,14,9,13,5,15,0.0
723,9,13,5,15,18,1.0
724,13,5,15,18,17,0.0
725,5,15,18,17,13,0.0
726,15,18,17,13,1,1.0
727,18,17,13,1,12,1.0
728,17,13,1,12,5,1.0
729,13,1,12,5,4,0.0
730,1,12,5,4,16,1.0
731,12,5,4,16,4,-1.0
732,5,4,16,4,16,0.0
733,4,16,4,16,13,1.0
734,16,4,16,13,17,1.0
735,4,16,13,17,17,0.0
736,16,13,17,17,12,1.0
737,13,17,17,12,1,1.0
738,17,17,12,1,7,0.0
739,17,12,1,7,18,0.0
740,12,1,7,18,9,1.0
741,1,7,18,9,19,0.0
742,7,18,9,19,1,0.0
743,18,9,19,1,19,1.0
744,9,19,1,19,11,0.0
745,19,1,19,11,3,1.0
746,1,19,11,3,7,0.0
747,19,11,3,7,18,1.0
748,11,3,7,18,9,1.0
749,3,7,18,9,10,1.0
750,7,18,9,10,10,0.0
751,18,9,10,10,10,0.0
752,9,10,10,10,18,1.0
753,10,10,10,18,1,0.0
754,10,10,18,1,14,0.0
755,10,18,1,14,5,0.0
756,18,1,14,5,17,1.0
757,1,14,5,17,2,1.0
758,14,5,17,2,13,1.0
759,5,17,2,13,14,1.0
760,17,2,13,14,14,0.0
761,2,13,14,14,13,0.0
762,13,14,14,13,0,0.0
763,14,14,13,0,2,1.0
764,14,13,0,2,1,1.0
765,13,0,2,1,8,1.0
766,0,2,1,8,15,1.0
767,2,1,8,15,5,1.0
768,1,8,15,5,12,0.0
769,8,15,5,12,15,0.0
770,15,5,12,15,0,0.0
771,5,12,15,0,4,1.0
772,12,15,0,4,6,1.0
773,15,0,4,6,16,1.0
774,0,4,6,16,15,0.0
775,4,6,16,15,7,0.0
776,6,16,15,7,17,0.0
777,16,15,7,17,19,-1.0
778,15,7,17,19,4,1.0
779,7,17,19,4,3,0.0
780,17,19,4,3,13,-1.0
781,19,4,3,13,17,1.0
782,4,3,13,17,17,0.0
783,3,13,17,17,2,1.0
784,13,17,17,2,9,1.0
785,17,17,2,9,12,1.0
786,17,2,9,12,2,-1.0
787,2,9,12,2,1,0.0
788,9,12,2,1,7,1.0
789,12,2,1,7,6,0.0
790,2,1,7,6,18,1.0
791,1,7,6,18,18,1.0
792,7,6,18,18,9,1.0
793,6,18,18,9,3,0.0
794,18,18,9,3,6,1.0
795,18,9,3,6,12,0.0
796,9,3,6,12,15,0.0
797,3,6,12,15,18,1.0
798,6,12,15,18,4,-1.0
799,12,15,18,4,2,1.0
800,15,18,4,2,7,1.0
801,18,4,2,7,12,0.0
802,4,2,7,12,12,1.0
803,2,7,12,12,10,-1.0
804,7,12,12,10,18,1.0
805,12,12,10,18,17,0.0
806,12,10,18,17,4,0.0
807,10,18,17,4,13,0.0
808,18,17,4,13,0,1.0
809,17,4,13,0,17,0.0
810,4,13,0,17,19,1.0
811,13,0,17,19,19,0.0
812,0,17,19,19,1,-1.0
813,17,19,19,1,0,0.0
814,19,19,1,0,3,1.0
815,19,1,0,3,13,0.0
816,1,0,3,13,4,0.0
817,0,3,13,4,7,1.0
818,3,13,4,7,12,1.0
819,13,4,7,12,1,0.0
820,4,7,12,1,7,0.0
821,7,12,1,7,0,0.0
822,12,1,7,0,8,0.0
823,1,7,0,8,16,0.0
824,7,0,8,16,14,1.0
825,0,8,16,14,10,1.0
826,8,16,14,10,6,0.0
827,16,14,10,6,18,1.0
828,14,10,6,18,2,1.0
829,10,6,18,2,4,0.0
830,6,18,2,4,8,1.0
831,18,2,4,8,3,1.0
832,2,4,8,3,10,1.0
833,4,8,3,10,0,0.0
834,8,3,10,0,16,1.0
835,3,10,0,16,10,1.0
836,10,0,16,10,6,1.0
837,0,16,10,6,13,0.0
838,16,10,6,13,3,1.0
839,10,6,13,3,18,1.0
840,6,13,3,18,9,0.0
841,13,3,18,9,5,1.0
842,3,18,9,5,3,0.0
843,18,9,5,3,1,0.0
844,9,5,3,1,3,1.0
845,5,3,1,3,3,0.0
846,3,1,3,3,19,1.0
847,1,3,3,19,6,1.0
848,3,3,19,6,14,1.0
849,3,19,6,14,0,1.0
850,19,6,14,0,5,1.0
851,6,14,0,5,3,0.0
852,14,0,5,3,6,1.0
853,0,5,3,6,1,1.0
854,5,3,6,1,2,0.0
855,3,6,1,2,4,0.0
856,6,1,2,4,11,0.0
857,1,2,4,11,10,0.0
858,2,4,11,10,8,0.0
859,4,11,10,8,0,-1.0
860,11,10,8,0,19,0.0
861,10,8,0,19,11,1.0
862,8,0,19,11,2,0.0
863,0,19,11,2,12,0.0
