,s-3,s-2,s-1,a,r
1065,5,3,3,5,-1
1066,3,3,5,4,-1
1067,3,5,4,4,-1
1068,5,4,4,0,-1
1069,4,4,0,5,0
1070,4,0,5,0,-1
1071,0,5,0,6,-1
1072,5,0,6,2,1
1073,0,6,2,0,-1
1074,6,2,0,4,-1
1075,2,0,4,6,-1
1076,0,4,6,1,-1
1077,4,6,1,8,1
1078,6,1,8,1,0
1079,1,8,1,2,-1
1080,8,1,2,9,1
1081,1,2,9,2,0
1082,2,9,2,9,1
1083,9,2,9,6,-1
1084,2,9,6,0,-1
1085,9,6,0,9,1
1086,6,0,9,4,-1
1087,0,9,4,3,1
1088,9,4,3,3,-1
1089,4,3,3,1,0
1090,3,3,1,0,-1
1091,3,1,0,6,-1
1092,1,0,6,5,-1
1093,0,6,5,6,-1
1094,6,5,6,8,0
1095,5,6,8,6,-1
1096,6,8,6,8,-1
1097,8,6,8,2,1
1098,6,8,2,6,-1
1099,8,2,6,3,1
1100,2,6,3,0,-1
1101,6,3,0,2,1
1102,3,0,2,0,-1
1103,0,2,0,0,-1
1104,2,0,0,5,-1
1105,0,0,5,6,-1
1106,0,5,6,6,0
1107,5,6,6,7,0
1108,6,6,7,3,0
1109,6,7,3,3,-1
1110,7,3,3,1,0
1111,3,3,1,8,1
1112,3,1,8,9,-1
