,s-2,s-1,a,r,none
851,2,3,5,-1,
852,3,5,2,1,
853,5,2,2,0,
854,2,2,3,1,
855,2,3,3,1,
856,3,3,5,-1,
857,3,5,0,-1,
858,5,0,2,0,
859,0,2,5,-1,
860,2,5,3,1,
861,5,3,1,0,
862,3,1,1,-1,
863,1,1,2,1,
864,1,2,2,-1,
865,2,2,0,0,
866,2,0,2,1,
867,0,2,3,0,
868,2,3,3,0,
869,3,3,4,-1,
870,3,4,1,0,
871,4,1,4,-1,
872,1,4,0,-1,
873,4,0,4,-1,
874,0,4,3,1,
875,4,3,1,1,
876,3,1,3,1,
877,1,3,4,1,
878,3,4,2,1,
879,4,2,0,-1,
880,2,0,2,1,
881,0,2,3,1,
882,2,3,3,-1,
883,3,3,2,1,
884,3,2,3,1,
885,2,3,2,1,
886,3,2,3,0,
887,2,3,4,-1,
888,3,4,3,1,
889,4,3,3,0,
890,3,3,3,-1,
891,3,3,2,1,
892,3,2,0,-1,
893,2,0,2,1,
894,0,2,3,-1,
895,2,3,4,1,
896,3,4,2,1,
897,4,2,5,-1,
898,2,5,0,-1,
899,5,0,1,0,
900,0,1,4,1,
901,1,4,1,0,
902,4,1,5,-1,
903,1,5,0,1,
904,5,0,1,1,
905,0,1,0,-1,
906,1,0,2,1,
907,0,2,1,1,
908,2,1,1,-1,
909,1,1,5,-1,
910,1,5,1,0,
911,5,1,1,0,
912,1,1,2,1,
913,1,2,2,0,
914,2,2,3,1,
915,2,3,2,1,
916,3,2,2,0,
917,2,2,5,0,
918,2,5,0,-1,
919,5,0,5,-1,
920,0,5,2,0,
921,5,2,5,-1,
922,2,5,2,1,
923,5,2,5,-1,
924,2,5,5,-1,
925,5,5,5,-1,
926,5,5,2,1,
927,5,2,4,-1,
928,2,4,3,1,
929,4,3,0,-1,
930,3,0,3,-1,
931,0,3,1,0,
932,3,1,3,1,
933,1,3,3,-1,
934,3,3,0,-1,
935,3,0,5,-1,
936,0,5,2,1,
937,5,2,1,0,
938,2,1,4,-1,
939,1,4,1,1,
