,s-3,s-2,s-1,a,r
677,10,5,19,13,0
678,5,19,13,12,0
679,19,13,12,4,-1
680,13,12,4,0,-1
681,12,4,0,18,-1
682,4,0,18,10,1
683,0,18,10,4,-1
684,18,10,4,6,-1
685,10,4,6,13,0
686,4,6,13,6,1
687,6,13,6,11,-1
688,13,6,11,18,1
689,6,11,18,8,1
690,11,18,8,0,-1
691,18,8,0,0,-1
692,8,0,0,12,-1
693,0,0,12,7,0
694,0,12,7,10,-1
695,12,7,10,0,-1
696,7,10,0,0,-1
697,10,0,0,0,-1
698,0,0,0,2,1
699,0,0,2,2,1
700,0,2,2,1,0
701,2,2,1,1,0
702,2,1,1,4,-1
703,1,1,4,2,1
704,1,4,2,1,-1
705,4,2,1,5,-1
706,2,1,5,3,1
707,1,5,3,11,1
708,5,3,11,5,-1
709,3,11,5,2,1
710,11,5,2,3,1
711,5,2,3,2,-1
712,2,3,2,2,0
713,3,2,2,2,0
714,2,2,2,2,0
715,2,2,2,2,1
716,2,2,2,2,0
717,2,2,2,2,1
718,2,2,2,2,1
719,2,2,2,2,0
720,2,2,2,1,-1
721,2,2,1,1,0
722,2,1,1,8,0
723,1,1,8,9,0
724,1,8,9,3,1
725,8,9,3,2,1
726,9,3,2,0,1
727,3,2,0,5,-1
728,2,0,5,3,1
729,0,5,3,1,0
730,5,3,1,13,0
731,3,1,13,6,-1
732,1,13,6,2,1
733,13,6,2,7,0
734,6,2,7,4,-1
735,2,7,4,2,1
736,7,4,2,14,1
737,4,2,14,7,0
738,2,14,7,10,1
739,14,7,10,7,0
740,7,10,7,3,-1
741,10,7,3,0,-1
742,7,3,0,17,-1
743,3,0,17,8,-1
744,0,17,8,0,-1
745,17,8,0,0,1
746,8,0,0,0,1
747,0,0,0,2,0
748,0,0,2,2,-1
749,0,2,2,2,-1
750,2,2,2,3,-1
751,2,2,3,4,-1
752,2,3,4,4,-1
753,3,4,4,4,-1
754,4,4,4,8,0
755,4,4,8,7,-1
756,4,8,7,5,1
757,8,7,5,16,-1
758,7,5,16,11,-1
759,5,16,11,6,0
760,16,11,6,4,1
761,11,6,4,7,-1
762,6,4,7,7,-1
763,4,7,7,4,-1
764,7,7,4,13,-1
765,7,4,13,9,1
766,4,13,9,5,-1
767,13,9,5,3,-1
768,9,5,3,3,-1
769,5,3,3,4,-1
770,3,3,4,2,1
771,3,4,2,2,1
772,4,2,2,5,-1
773,2,2,5,3,-1
774,2,5,3,2,0
775,5,3,2,19,0
776,3,2,19,9,1
777,2,19,9,9,1
778,19,9,9,2,1
779,9,9,2,7,0
780,9,2,7,1,0
781,2,7,1,3,1
782,7,1,3,0,-1
783,1,3,0,2,1
784,3,0,2,2,1
785,0,2,2,1,0
786,2,2,1,1,0
787,2,1,1,2,1
788,1,1,2,1,-1
789,1,2,1,1,0
790,2,1,1,2,-1
791,1,1,2,2,1
792,1,2,2,2,1
793,2,2,2,7,0
794,2,2,7,4,1
795,2,7,4,3,-1
796,7,4,3,10,-1
797,4,3,10,5,-1
798,3,10,5,3,1
799,10,5,3,0,-1
800,5,3,0,0,-1
801,3,0,0,2,1
802,0,0,2,1,0
803,0,2,1,17,-1
804,2,1,17,0,-1
805,1,17,0,0,-1
806,17,0,0,0,-1
807,0,0,0,18,-1
808,0,0,18,5,-1
809,0,18,5,1,0
810,18,5,1,0,0
811,5,1,0,6,-1
812,1,0,6,3,0
813,0,6,3,1,0
814,6,3,1,19,0
815,3,1,19,0,-1
816,1,19,0,2,1
817,19,0,2,11,1
818,0,2,11,4,-1
819,2,11,4,2,0
820,11,4,2,0,0
821,4,2,0,3,1
822,2,0,3,2,0
823,0,3,2,1,0
824,3,2,1,2,1
825,2,1,2,4,-1
826,1,2,4,2,-1
827,2,4,2,2,1
828,4,2,2,3,-1
829,2,2,3,2,1
830,2,3,2,2,0
831,3,2,2,2,1
832,2,2,2,1,0
833,2,2,1,6,-1
834,2,1,6,13,-1
835,1,6,13,3,1
836,6,13,3,1,0
837,13,3,1,0,-1
838,3,1,0,2,1
839,1,0,2,5,0
840,0,2,5,0,-1
841,2,5,0,2,1
842,5,0,2,3,1
843,0,2,3,0,-1
844,2,3,0,2,1
845,3,0,2,2,0
846,0,2,2,11,-1
847,2,2,11,3,1
848,2,11,3,2,0
849,11,3,2,0,0
850,3,2,0,2,1
851,2,0,2,2,0
852,0,2,2,1,1
853,2,2,1,18,-1
854,2,1,18,0,0
855,1,18,0,2,1
856,18,0,2,0,0
857,0,2,0,1,-1
858,2,0,1,8,1
859,0,1,8,0,-1
860,1,8,0,1,0
861,8,0,1,6,-1
862,0,1,6,0,-1
863,1,6,0,1,-1
864,6,0,1,4,-1
865,0,1,4,2,1
866,1,4,2,2,-1
867,4,2,2,2,-1
868,2,2,2,7,-1
869,2,2,7,3,1
870,2,7,3,3,1
871,7,3,3,5,-1
872,3,3,5,3,1
873,3,5,3,3,1
874,5,3,3,3,1
875,3,3,3,15,1
876,3,3,15,4,-1
877,3,15,4,3,1
878,15,4,3,18,0
879,4,3,18,4,-1
880,3,18,4,4,-1
881,18,4,4,0,-1
882,4,4,0,4,-1
883,4,0,4,3,1
884,0,4,3,1,0
885,4,3,1,3,1
886,3,1,3,5,1
887,1,3,5,2,1
888,3,5,2,3,1
889,5,2,3,2,1
890,2,3,2,2,1
891,3,2,2,2,-1
892,2,2,2,2,1
893,2,2,2,2,1
894,2,2,2,2,1
895,2,2,2,2,0
896,2,2,2,2,-1
897,2,2,2,2,-1
898,2,2,2,11,-1
899,2,2,11,15,1
900,2,11,15,4,-1
901,11,15,4,1,0
902,15,4,1,0,-1
903,4,1,0,16,0
904,1,0,16,11,1
905,0,16,11,2,1
906,16,11,2,0,-1
907,11,2,0,0,0
908,2,0,0,2,0
909,0,0,2,3,1
910,0,2,3,1,0
911,2,3,1,2,1
912,3,1,2,7,0
913,1,2,7,2,0
914,2,7,2,2,0
915,7,2,2,6,-1
916,2,2,6,3,1
917,2,6,3,3,1
918,6,3,3,4,1
919,3,3,4,3,1
920,3,4,3,3,1
921,4,3,3,10,-1
922,3,3,10,4,-1
923,3,10,4,3,1
924,10,4,3,10,-1
925,4,3,10,6,-1
926,3,10,6,3,-1
927,10,6,3,9,-1
928,6,3,9,1,-1
929,3,9,1,2,1
930,9,1,2,5,-1
931,1,2,5,2,0
932,2,5,2,2,0
933,5,2,2,3,-1
934,2,2,3,2,1
935,2,3,2,6,0
936,3,2,6,18,0
937,2,6,18,4,-1
938,6,18,4,7,-1
939,18,4,7,10,0
940,4,7,10,16,-1
941,7,10,16,17,0
942,10,16,17,8,0
943,16,17,8,4,1
944,17,8,4,5,-1
945,8,4,5,11,-1
946,4,5,11,7,0
947,5,11,7,5,1
948,11,7,5,16,1
949,7,5,16,7,1
950,5,16,7,4,1
951,16,7,4,0,-1
952,7,4,0,10,-1
953,4,0,10,4,-1
954,0,10,4,2,1
955,10,4,2,17,-1
956,4,2,17,6,-1
957,2,17,6,5,-1
958,17,6,5,0,-1
959,6,5,0,8,1
960,5,0,8,5,-1
961,0,8,5,16,-1
962,8,5,16,4,0
963,5,16,4,3,1
964,16,4,3,14,1
965,4,3,14,5,-1
966,3,14,5,3,1
967,14,5,3,19,0
968,5,3,19,12,-1
969,3,19,12,16,0
970,19,12,16,17,-1
971,12,16,17,9,1
972,16,17,9,12,-1
973,17,9,12,15,1
974,9,12,15,18,-1
