,s-2,s-1,a,r,none
678,2,1,2,0,
679,1,2,1,0,
680,2,1,2,0,
681,1,2,1,-1,
682,2,1,2,1,
683,1,2,1,0,
684,2,1,2,1,
685,1,2,1,0,
686,2,1,2,1,
687,1,2,1,-1,
688,2,1,4,-1,
689,1,4,0,0,
690,4,0,2,1,
691,0,2,1,-1,
692,2,1,2,0,
693,1,2,0,-1,
694,2,0,2,1,
695,0,2,0,-1,
696,2,0,2,0,
697,0,2,0,-1,
698,2,0,2,1,
699,0,2,0,-1,
700,2,0,2,-1,
701,0,2,0,-1,
702,2,0,2,1,
703,0,2,0,0,
704,2,0,2,1,
705,0,2,0,-1,
706,2,0,2,0,
707,0,2,0,-1,
708,2,0,2,1,
709,0,2,0,-1,
710,2,0,5,1,
711,0,5,0,0,
712,5,0,3,0,
713,0,3,0,-1,
714,3,0,0,-1,
715,0,0,1,0,
716,0,1,1,0,
717,1,1,5,-1,
718,1,5,0,-1,
719,5,0,3,1,
720,0,3,0,-1,
721,3,0,5,0,
722,0,5,0,0,
723,5,0,5,-1,
724,0,5,0,0,
725,5,0,3,1,
726,0,3,2,1,
727,3,2,5,-1,
728,2,5,1,0,
729,5,1,3,1,
730,1,3,1,-1,
731,3,1,2,1,
732,1,2,0,1,
733,2,0,5,-1,
734,0,5,0,-1,
735,5,0,2,0,
736,0,2,5,-1,
737,2,5,5,-1,
738,5,5,2,0,
739,5,2,3,1,
740,2,3,1,0,
741,3,1,2,1,
742,1,2,0,-1,
743,2,0,2,1,
744,0,2,0,1,
745,2,0,2,1,
746,0,2,0,-1,
747,2,0,2,0,
748,0,2,0,1,
749,2,0,2,0,
750,0,2,0,-1,
751,2,0,2,1,
752,0,2,2,0,
753,2,2,2,0,
754,2,2,1,0,
755,2,1,2,1,
756,1,2,4,-1,
757,2,4,2,-1,
758,4,2,2,1,
759,2,2,1,-1,
760,2,1,2,0,
761,1,2,0,1,
762,2,0,2,1,
763,0,2,0,-1,
764,2,0,2,1,
765,0,2,0,0,
766,2,0,2,1,
767,0,2,0,-1,
768,2,0,2,0,
769,0,2,0,-1,
770,2,0,4,1,
771,0,4,0,0,
772,4,0,3,0,
773,0,3,0,1,
774,3,0,2,-1,
775,0,2,0,-1,
776,2,0,2,1,
777,0,2,0,-1,
778,2,0,4,1,
779,0,4,2,1,
780,4,2,3,1,
781,2,3,1,-1,
782,3,1,2,1,
783,1,2,0,1,
784,2,0,2,1,
785,0,2,2,0,
786,2,2,1,0,
787,2,1,2,1,
788,1,2,0,-1,
789,2,0,4,-1,
790,0,4,0,0,
791,4,0,2,1,
792,0,2,0,-1,
793,2,0,2,1,
794,0,2,0,1,
795,2,0,4,-1,
796,0,4,0,-1,
797,4,0,2,1,
798,0,2,5,-1,
799,2,5,0,-1,
800,5,0,2,1,
801,0,2,0,0,
802,2,0,3,1,
803,0,3,3,1,
804,3,3,1,0,
805,3,1,3,-1,
806,1,3,0,-1,
807,3,0,3,1,
808,0,3,0,-1,
809,3,0,3,1,
810,0,3,0,0,
811,3,0,3,-1,
812,0,3,0,0,
813,3,0,3,1,
814,0,3,0,-1,
815,3,0,1,0,
816,0,1,1,1,
817,1,1,1,0,
818,1,1,1,0,
819,1,1,3,0,
820,1,3,0,-1,
821,3,0,2,1,
822,0,2,0,1,
823,2,0,1,0,
824,0,1,1,0,
825,1,1,0,0,
826,1,0,1,0,
827,0,1,1,-1,
828,1,1,1,0,
829,1,1,0,-1,
830,1,0,1,-1,
831,0,1,1,0,
832,1,1,1,0,
833,1,1,1,-1,
